"season","player","jersey","opponent","data","player_squish","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team","game_id","class","school","position","height","weight","hometown","highschool","hometown_hs","url"
2009,"Dan Picciotto",2,"Occidental College","defense","dan picciotto","9","6","15","2.0/17","2.0","1.5/15","1.5","-","0-1","1/20","-","-","-","-","-","home",7488,"Sr.",NA,"DB","6-1",NA,NA,NA,"Tigard, OR / Tigard","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Dane Rymer",4,"Occidental College","defense","dane rymer","1","2","3","0.5/2","0.5","-/-","-","-","0-0","-/-","-","-","2","-","-","home",7488,"Sr.",NA,"DB","6-1",NA,NA,NA,"Phoenix, AZ / Valley Christian","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Jake Weyerhauser",10,"Occidental College","defense","jake weyerhauser","4","3","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Fr.",NA,"DB","6-0",NA,NA,NA,"Lakewood, WA / Charles Wright Academy","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Adam Morris",14,"Occidental College","defense","adam morris","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Jr.",NA,"LB","5-7",NA,NA,NA,"Honolulu, HI / Punahou","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Nate Jiwanlal",15,"Occidental College","defense","nate jiwanlal","4","-","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"So.",NA,"DB","5-10",NA,NA,NA,"Wichita, KS / Andover","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Kyle Hansen",17,"Occidental College","defense","kyle hansen","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Fr.",NA,"DB","6-2",NA,NA,NA,"Issaquah, WA / Issaquah","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Jackie Coburn",23,"Occidental College","defense","jackie coburn","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Fr.",NA,"DB","6-2",NA,NA,NA,"Beaverton, OR / Beaverton","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Brock Olson",26,"Occidental College","defense","brock olson","4","5","9","-/-","-","-/-","-","-","0-0","-/-","1-2","1","1","-","-","home",7488,"Sr.",NA,"DB","5-11",NA,NA,NA,"Lake Oswego, OR / Lakeridge","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Patrick Atwater",31,"Occidental College","defense","patrick atwater","-","5","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"Sr.",NA,"LB","6-1",NA,NA,NA,"La Canada / Cresenta Valley","https://cmsathletics.org/sports/football/roster/2009?view=2"
2009,"Sae Bin Park",51,"Occidental College","defense","sae bin park","-","3","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7488,"So.",NA,"LB","5-8",NA,NA,NA,"Los Angeles / Beverly Hills","https://cmsathletics.org/sports/football/roster/2009?view=2"
